EN,EM,Description,Composition strategy,Attribute,generated_sentence
common man,👨👨👨👨,"[':man:', ':man:', ':man:', ':man:']",Reduplication,COMMONNESS,The common man is often represented by everyday individuals working together and supporting one another.
common man,👨🧑‍🦱👨‍🦱,"[':man:', ':person_curly_hair:', ':man_curly_hair:']",Semantic list,COMMONNESS,"The common man is represented by a diverse group of individuals, showcasing different hairstyles and backgrounds."
common parlance,👩‍💼🗣💼,"[':woman_office_worker:', ':speaking_head:', ':briefcase:']",Metaphorical,FORMALITY,A businesswoman is discussing important matters in a meeting.
common parlance,🗣️✅🆗,"[':speaking_head:', ':check_mark_button:', ':OK_button:']",Metaphorical,FORMALITY,"""Speaking clearly is essential for effective communication."""
common parlance,👥🗣,"[':busts_in_silhouette:', ':speaking_head:']",Direct,FORMALITY,"""People are engaging in conversation."""
common parlance,▶️🗣️,"[':play_button:', ':speaking_head:']",Metaphorical,FORMALITY,"""Let's speak in common terms."""
common parlance,🤲🤝,"[':palms_up_together:', ':handshake:']",Metaphorical,FORMALITY,"""Let's work together and support each other."""
common parlance,👏👦🧑‍🦱,"[':clapping_hands:', ':boy:', ':person_curly_hair:']",Metaphorical,FORMALITY,"""Well done, kid!"""
common parlance,🗣️↔️🗣️,"[':speaking_head:', ':left-right_arrow:', ':speaking_head:']",Metaphorical,FORMALITY,"""People are engaging in conversation."""
common parlance,📓📔💬💭,"[':notebook:', ':notebook_with_decorative_cover:', ':speech_balloon:', ':thought_balloon:']",Metaphorical,FORMALITY,"""Let's discuss our thoughts and ideas in these notebooks."""
common brand,👜,[':handbag:'],Single,COMMONNESS,This stylish handbag represents a popular luxury brand.
common brand,👓👝👗👔©️,"[':glasses:', ':clutch_bag:', ':dress:', ':necktie:', ':copyright:']",Direct,COMMONNESS,"""These stylish accessories represent a common brand known for its fashionable eyewear, handbags, and clothing."""
common brand,👥💁🏻‍♀️👜,"[':busts_in_silhouette:', ':woman_tipping_hand_light_skin_tone:', ':handbag:']",Metaphorical,COMMONNESS,"""Two friends are shopping for a trendy handbag from a popular brand."""
common brand,▶️🛒👛,"[':play_button:', ':shopping_cart:', ':purse:']",Metaphorical,COMMONNESS,"""Shop for your favorite common brand items with a simple click!"""
common brand,🤲📱,"[':palms_up_together:', ':mobile_phone:']",Metaphorical,COMMONNESS,"""Sharing a smartphone with open hands represents a popular tech brand."""
common brand,↘️↙️,"[':down-right_arrow:', ':down-left_arrow:']",Metaphorical,COMMONNESS,"The arrows point diagonally downwards, suggesting a common brand that often features a downward trend or movement, like a discount or a sale."
common brand,👥🧳👛💼🎒👜👥,"[':busts_in_silhouette:', ':luggage:', ':purse:', ':briefcase:', ':backpack:', ':handbag:', ':busts_in_silhouette:']",Metaphorical,COMMONNESS,"""People are preparing for a trip with various bags and luggage from a popular brand."""
common brand,🛍️🛍️🔄,"[':shopping_bags:', ':shopping_bags:', ':counterclockwise_arrows_button:']",Metaphorical,COMMONNESS,"""Returning items from popular stores."""
heavy metal,🤘,[':sign_of_the_horns:'],Single,WEIGHT,"""Rock on with heavy metal music!"""
heavy metal,🏋⚙️,"[':person_lifting_weights:', ':gear:']",Direct,WEIGHT,Lifting heavy weights requires the right equipment and dedication to build strength.
heavy metal,⚖️🔗,"[':balance_scale:', ':link:']",Metaphorical,WEIGHT,"""Balancing the weight of heavy metal music with unbreakable connections."""
heavy metal,🏋🏻🛠️⚓🔗🔩⚔,"[':person_lifting_weights_light_skin_tone:', ':hammer_and_wrench:', ':anchor:', ':link:', ':nut_and_bolt:', ':crossed_swords:']",Direct,WEIGHT,"""Strength and craftsmanship unite in the heavy metal scene, where anchors and chains symbolize resilience, while tools and swords represent the raw power of the music."""
heavy metal,⚒️⛓️,"[':hammer_and_pick:', ':chains:']",Semantic list,WEIGHT,"""Forging chains with heavy metal tools."""
heavy metal,😓🪨,"[':downcast_face_with_sweat:', ':rock:']",Metaphorical,WEIGHT,"""I'm feeling overwhelmed by the heavy metal music."""
heavy metal,⚖️⚙️,"[':balance_scale:', ':gear:']",Metaphorical,WEIGHT,"""Balancing the power of machinery and justice in the world of heavy metal."""
heavy load,📦📦📦📦📦📦📦📦📦✖️💯,"[':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':multiply:', ':hundred_points:']",Reduplication,WEIGHT,"The heavy load consists of nine boxes, and it's overwhelming!"
heavy load,🏋🎒,"[':person_lifting_weights:', ':backpack:']",Direct,WEIGHT,"""Carrying a heavy load requires strength and determination."""
heavy load,🏋️‍♂️📦,"[':man_lifting_weights:', ':package:']",Direct,WEIGHT,The weightlifter is preparing to lift a heavy load.
heavy load,🏋🏻🚜🧳,"[':person_lifting_weights_light_skin_tone:', ':tractor:', ':luggage:']",Direct,WEIGHT,"""Transporting a heavy load with a weightlifting enthusiast, a tractor, and a suitcase."""
heavy load,💥🏋,"[':collision:', ':person_lifting_weights:']",Metaphorical,WEIGHT,"""Lifting heavy weights can be explosive for your strength training."""
heavy load,😓📦,"[':downcast_face_with_sweat:', ':package:']",Metaphorical,WEIGHT,"""I'm feeling overwhelmed by this heavy load."""
heavy load,💪👛,"[':flexed_biceps:', ':purse:']",Metaphorical,WEIGHT,"""Carrying a heavy load requires strength and determination."""
heavy fog,🌫️🌁✖️💯,"[':fog:', ':foggy:', ':multiply:', ':hundred_points:']",Metaphorical,THICKNESS,The heavy fog is so thick that visibility is reduced to zero.
heavy fog,🌫️🌫️,"[':fog:', ':fog:']",Reduplication,THICKNESS,"The heavy fog blanketed the landscape, making it difficult to see anything beyond a few feet ahead."
heavy fog,🏋️‍♂️🌫️,"[':man_lifting_weights:', ':fog:']",Direct,THICKNESS,"""Even the strongest lifter struggles to see through the heavy fog."""
heavy fog,🌫️😶‍🌫,"[':fog:', ':face_in_clouds:']",Metaphorical,THICKNESS,The heavy fog made it difficult to see anything clearly.
heavy fog,🌫️🤨,"[':fog:', ':face_with_raised_eyebrow:']",Metaphorical,THICKNESS,"The heavy fog made it difficult to see, leaving me feeling uncertain and skeptical about the road ahead."
heavy fog,😓😶‍🌫️,"[':downcast_face_with_sweat:', ':face_in_clouds:']",Metaphorical,THICKNESS,"The heavy fog made it difficult to see, leaving me feeling anxious and disoriented."
heavy fog,🌫️💨,"[':fog:', ':dashing_away:']",Metaphorical,THICKNESS,"The heavy fog rolled in, reducing visibility and creating an eerie atmosphere."
full game,💯🆓🎮,"[':hundred_points:', ':FREE_button:', ':video_game:']",Direct,COMPLETENESS,"""Enjoy the full game for free!"""
full game,🎯🏀,"[':bullseye:', ':basketball:']",Direct,COMPLETENESS,"""Hit the target and score points in the full basketball game!"""
full game,🎮💯,"[':video_game:', ':hundred_points:']",Direct,COMPLETENESS,"""Achieving a perfect score in the full game!"""
full game,🎮🏁,"[':video_game:', ':chequered_flag:']",Direct,COMPLETENESS,"""Get ready to play the full game and race to the finish!"""
full game,👍🎮,"[':thumbs_up:', ':video_game:']",Direct,COMPLETENESS,"""Thumbs up for the full game!"""
full game,🕛👾,"[':twelve_o’clock:', ':alien_monster:']",Direct,COMPLETENESS,"""It's midnight, and the full game is about to begin!"""
full game,🎮👬👬,"[':video_game:', ':men_holding_hands:', ':men_holding_hands:']",Metaphorical,COMPLETENESS,"""Three friends are ready to play a full multiplayer game together."""
full auditorium,🎫🧑👨🧑‍🦱👩‍🦱🈵,"[':ticket:', ':person:', ':man:', ':person_curly_hair:', ':woman_curly_hair:', ':Japanese_no_vacancy_button:']",Metaphorical,FULLNESS,The auditorium is completely full with an audience of diverse individuals.
full auditorium,🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🕍,"[':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':synagogue:']",Reduplication,FULLNESS,"The auditorium is filled with people standing, creating a lively atmosphere."
full auditorium,👩‍💻👨‍💻🏫,"[':woman_technologist:', ':man_technologist:', ':school:']",Metaphorical,FULLNESS,A woman and a man are conducting a tech workshop in a full auditorium.
full auditorium,❌🛸🏟,"[':cross_mark:', ':flying_saucer:', ':stadium:']",Direct,FULLNESS,"""There's no room for a UFO in the full auditorium."""
full auditorium,🈵🏫,"[':Japanese_no_vacancy_button:', ':school:']",Direct,FULLNESS,The auditorium is completely full.
full auditorium,⛽️🏫,"[':fuel_pump:', '', ':school:']",Direct,FULLNESS,"""Students filled the auditorium, eagerly waiting for the presentation on fuel efficiency."""
full auditorium,🎟️🎟️🎭,"[':admission_tickets:', ':admission_tickets:', ':performing_arts:']",Metaphorical,FULLNESS,"The theater is packed with excited audience members, all holding their tickets for a night of captivating performances."
full attention,💯❗,"[':hundred_points:', ':red_exclamation_mark:']",Direct,INTEGRITY,"""Give it your full attention!"""
full attention,👩🧐🤯,"[':woman:', ':face_with_monocle:', ':exploding_head:']",Metaphorical,INTEGRITY,"The woman is intensely focused, her mind blown by what she has discovered."
full attention,💯❗,"[':hundred_points:', ':red_exclamation_mark:']",Direct,INTEGRITY,"""Give it your full attention!"""
full attention,🤓👨‍💻👨‍🏫👨‍🎓,"[':nerd_face:', ':man_technologist:', ':man_teacher:', ':man_student:']",Semantic list,INTEGRITY,"""With full attention, the nerdy student focuses intently on his studies, eager to learn from his teacher and excel in his academic journey."""
full attention,🧐✍️,"[':face_with_monocle:', ':writing_hand:']",Metaphorical,INTEGRITY,"With full attention, I carefully analyze and take notes."
full attention,👨‍✈️,[':man_pilot:'],Single,INTEGRITY,The pilot is giving his full attention to the flight and the passengers.
full attention,🙋‍♂️🦻🏫,"[':man_raising_hand:', ':ear_with_hearing_aid:', ':school:']",Metaphorical,INTEGRITY,"The attentive student raises his hand in class, eager to participate and listen closely."
full glass,🥛➕🚰🚰🚰🚰🚰 🈵,"[':glass_of_milk:', ':plus:', ':potable_water:', ':potable_water:', ':potable_water:', ':potable_water:', ':potable_water:', ':Japanese_no_vacancy_button:']",Metaphorical,FULLNESS,A glass full of milk and water.
full glass,🥛🈵,"[':glass_of_milk:', ':Japanese_no_vacancy_button:']",Direct,FULLNESS,The glass of milk is full.
full glass,💯🥛,"[':hundred_points:', ':glass_of_milk:']",Direct,FULLNESS,"""Here’s a full glass of milk!"""
full glass,🚰🥛,"[':potable_water:', ':glass_of_milk:']",Metaphorical,FULLNESS,A full glass of refreshing water and milk.
full glass,🚰✅,"[':potable_water:', ':check_mark_button:']",Direct,FULLNESS,The glass is full of water.
full glass,🍺,[':beer_mug:'],Single,FULLNESS,A full glass of beer is ready to be enjoyed.
full glass,🥛🥂,"[':glass_of_milk:', ':clinking_glasses:']",Semantic list,FULLNESS,"""Cheers to a full glass of milk!"""
full life,♥️👨‍👩‍👧‍👦💼💰💰💰💯,"[':heart_suit:', ':family_man_woman_girl_boy:', ':briefcase:', ':money_bag:', ':money_bag:', ':money_bag:', ':hundred_points:']",Metaphorical,FULLNESS,"""With love and family, hard work leads to financial success and a fulfilling life."""
full life,🎑🏔️🌄,"[':moon_viewing_ceremony:', ':snow-capped_mountain:', ':sunrise_over_mountains:']",Semantic list,FULLNESS,"""Embracing a full life means enjoying the beauty of nature, from serene moonlit nights by the mountains to breathtaking sunrises."""
full life,🥰☺️🏡,"[':smiling_face_with_hearts:', ':smiling_face:', ':house_with_garden:']",Metaphorical,FULLNESS,"""Finding joy and contentment in the warmth of home and love is the essence of a full life."""
full life,🎉😊😌🤗🥳🤩,"[':party_popper:', ':smiling_face_with_smiling_eyes:', ':relieved_face:', ':smiling_face_with_open_hands:', ':partying_face:', ':star-struck:']",Metaphorical,FULLNESS,"""Celebrating the joy and fulfillment of a vibrant life filled with happiness and wonderful moments!"""
full life,😊♥️,"[':smiling_face_with_smiling_eyes:', ':heart_suit:']",Metaphorical,FULLNESS,"""Embracing joy and love brings a sense of fullness to life."""
full life,🥵🤣🥵🤣,"[':hot_face:', ':rolling_on_the_floor_laughing:', ':hot_face:', ':rolling_on_the_floor_laughing:']",Metaphorical,FULLNESS,"""Living life to the fullest can be a wild rollercoaster of emotions, full of laughter and sometimes feeling overwhelmed!"""
full life,😆🥳💑,"[':grinning_squinting_face:', ':partying_face:', ':couple_with_heart:']",Direct,FULLNESS,"""Embracing a joyful and vibrant life filled with love and celebration."""
little boy,👦,[':boy:'],Single,AGE,The little boy is playing happily in the park.
little boy,👦🧍,"[':boy:', ':person_standing:']",Semantic list,AGE,A little boy is standing.
little boy,🤏👶👦,"[':pinching_hand:', ':baby:', ':boy:']",Direct,AGE,A little boy is using his fingers to show how small something is.
little boy,👦,[':boy:'],Single,AGE,The little boy is playing in the park.
little boy,👇🏻👦,"[':backhand_index_pointing_down_light_skin_tone:', ':boy:']",Direct,AGE,The little boy is pointing down.
little boy,👦👈👶,"[':boy:', ':backhand_index_pointing_left:', ':baby:']",Metaphorical,AGE,A little boy is pointing at a baby.
little boy,👦🏻,[':boy_light_skin_tone:'],Single,AGE,The little boy is playing happily in the park.
little boy,🤏👦,"[':pinching_hand:', ':boy:']",Direct,AGE,The little boy is using his fingers to show something small.
little man,🧔‍♂️,[':man_beard:'],Single,STATURE,The little man with a beard is ready for an adventure.
little man,🧍↕️🤏,"[':person_standing:', ':up-down_arrow:', ':pinching_hand:']",Direct,STATURE,A little man is standing tall and reaching up.
little man,👦🧑‍🦰,"[':boy:', ':person_red_hair:']",Semantic list,STATURE,A young boy is becoming a little man.
little man,🤏🧍‍♂️,"[':pinching_hand:', ':man_standing:']",Direct,STATURE,A tiny man is standing.
little man,👇🏻🚶‍♂️,"[':backhand_index_pointing_down_light_skin_tone:', ':man_walking:']",Direct,STATURE,The little man is walking downwards.
